Average fitness, Best fitness
30,34
31,35
31,35
32,36
33,36
33,36
34,36
34,37
34,37
35,37
35,37
35,39
35,39
36,39
36,39
36,40
37,40
37,41
38,41
38,41
38,41
39,41
39,42
39,42
39,42
40,43
40,43
40,43
40,43
40,43
41,43
41,43
41,43
41,43
41,44
41,44
42,44
42,44
42,44
42,44
42,44
42,45
42,45
42,45
43,45
43,45
43,45
43,45
43,46
43,47
43,47
43,47
44,47
44,47
44,47
44,47
44,47
44,47
45,47
45,47
45,47
45,48
45,48
45,48
45,48
45,48
46,48
46,48
46,48
46,49
46,49
46,49
46,49
46,49
46,49
46,49
47,49
47,49
47,49
47,49
47,49
47,49
47,49
47,49
48,49
47,49
48,50
48,50
48,50
47,50
47,50
48,50
48,50
48,50
48,50
48,50
48,50
48,50
48,50
48,50
48,50
48,50
49,50
48,50
48,50
48,50
48,50
48,50
48,50
48,50
48,50
49,50
48,50
48,50
49,50
49,50
48,50
49,50
48,50
48,50
48,50
48,50
49,50
48,50
49,50
48,50
48,50
48,50
49,50
49,50
49,50
48,51
49,51
49,51
49,51
49,51
49,51
49,51
49,51
48,51
49,51
49,51
49,51
49,51
49,51
49,51
49,51
49,51
49,51
49,51
49,51
49,51
49,51
49,51
49,51
49,51
50,51
50,51
49,51
50,51
50,51
49,51
50,51
50,51
50,51
50,51
50,51
50,51
49,51
49,51
50,51
49,51
50,51
49,51
49,52
49,52
49,52
49,52
49,52
49,52
49,52
49,52
49,52
49,52
50,52
50,52
50,52
50,52
50,52
50,52
50,52
50,52
50,52
50,52
50,52
50,52
50,52
50,52
50,52
50,52
50,52
50,52
50,52
50,52
50,52
50,52
50,52
50,52
50,52
50,52
50,52
50,52
50,52
50,52
50,52
50,52
50,52
50,52
50,52
50,52
50,52
50,52
50,52
50,52
50,52
50,52
50,52
50,52
50,52
50,52
50,52
50,52
50,52
50,52
50,52
50,52
50,52
50,52
50,52
50,52
50,52
50,52
50,52
50,52
50,52
50,52
50,52
50,52
50,52
50,52
50,52
50,52
50,52
50,52
50,52
50,52
50,52
50,52
50,52
50,52
50,52
50,52
50,52
50,52
50,52
50,52
50,52
50,52
50,52
50,52
50,52
50,52
50,52
50,52
50,52
50,52
50,52
50,52
50,52
50,52
50,52
50,52
50,52
50,52
50,52
50,52
50,52
50,52
50,52
50,52
50,52
50,52
50,52
50,52
50,52
50,52
50,52
50,52
50,52
51,52
50,52
50,52
50,52
50,52
50,52
50,52
50,52
50,52
50,52
50,52
50,52
50,52
50,52
50,52
50,52
50,52
50,52
50,52
50,52
50,52
50,53
50,53
50,53
50,53
50,53
50,53
50,53
50,53
50,53
50,53
50,53
51,53
50,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
52,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,53
51,54
51,54
51,54
51,54
51,54
51,54
51,54
51,54
51,54
51,54
52,54
52,54
52,54
52,54
52,54
52,54
52,54
52,54
52,54
52,54
52,54
52,54
52,54
52,54
52,54
52,54
52,54
52,54
52,54
52,54
52,54
52,54
52,54
52,54
52,54
52,54
52,54
52,54
52,54
52,54
52,54
52,54
52,54
52,54
52,54
52,54
52,54
52,54
52,54
52,54
52,54
52,54
52,54
52,54
52,54
52,54
52,54
52,54
52,54
52,54
52,54
52,54
52,54
52,54
52,54
52,54
52,54
52,54
52,54
52,54
52,54
52,54
52,54
52,54
52,54
52,54
52,54
52,55
52,55
52,55
52,55
52,55
52,55
52,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
53,55
