Average fitness, Best fitness
0,26
0,26
1,26
3,30
5,46
9,46
15,46
21,46
26,56
31,63
35,63
40,71
45,83
49,101
54,101
59,101
67,116
74,116
81,126
90,126
97,126
103,138
108,141
114,141
119,152
123,152
128,152
132,166
135,185
142,185
147,193
153,214
159,215
167,215
174,215
184,234
192,234
201,247
207,247
214,268
219,272
226,275
235,279
244,304
252,304
258,313
266,313
271,332
277,332
283,339
288,354
295,354
305,354
313,377
321,377
330,405
339,417
349,417
362,417
371,417
381,429
388,446
397,446
405,449
411,469
417,472
421,472
425,472
433,472
439,481
446,507
453,507
460,507
465,507
469,507
474,507
482,507
489,511
495,511
500,511
502,511
504,511
504,511
505,511
506,511
507,511
506,511
507,511
507,511
508,511
505,511
507,511
507,511
507,511
506,511
507,511
508,511
507,511
507,511
507,511
508,511
507,511
507,511
507,511
508,511
508,511
508,511
506,511
506,511
506,511
505,511
507,511
508,511
507,511
508,511
509,511
508,511
508,511
507,511
507,511
507,511
508,511
508,511
507,511
508,511
507,511
506,511
507,511
507,511
507,511
507,511
508,511
507,511
508,511
506,511
506,511
506,511
508,511
507,511
507,511
507,511
506,511
507,511
507,511
507,511
506,511
508,511
507,511
506,511
507,511
509,511
508,511
507,511
508,511
507,511
508,511
508,511
507,511
506,511
506,511
507,511
507,511
507,511
506,511
508,511
508,511
506,511
506,511
507,511
507,511
507,511
506,511
508,511
506,511
507,511
507,511
508,511
507,511
508,511
508,511
508,511
506,511
508,511
507,511
508,511
508,511
507,511
505,511
506,511
508,511
507,511
508,511
506,511
506,511
507,511
507,511
508,511
508,511
509,511
506,511
506,511
508,511
509,511
508,511
507,511
507,511
508,511
506,511
508,511
508,511
507,511
508,511
509,511
508,511
508,511
509,511
507,511
507,511
508,511
508,511
506,511
508,511
507,511
506,511
507,511
507,511
507,511
507,511
508,511
505,511
508,511
506,511
508,511
507,511
508,511
507,511
506,511
508,511
507,511
508,511
509,511
507,511
508,511
508,511
507,511
505,511
508,511
508,511
506,511
507,511
506,511
507,511
508,511
506,511
508,511
508,511
508,511
509,511
507,511
509,511
508,511
508,511
509,511
507,511
507,511
507,511
508,511
508,511
508,511
507,511
507,511
508,511
507,511
507,511
508,511
507,511
506,511
506,511
507,511
507,511
507,511
506,511
507,511
505,511
506,511
507,511
508,511
506,511
507,511
504,511
506,511
507,511
507,511
506,511
508,511
508,511
507,511
507,511
508,511
508,511
509,511
507,511
508,511
507,511
508,511
508,511
508,511
507,511
507,511
507,511
509,511
507,511
507,511
508,511
508,511
507,511
509,511
505,511
507,511
506,511
506,511
508,511
509,511
507,511
507,511
508,511
508,511
507,511
508,511
507,511
508,511
506,511
507,511
507,511
508,511
506,511
507,511
506,511
507,511
508,511
508,511
506,511
507,511
508,511
507,511
507,511
507,511
508,511
507,511
507,511
507,511
507,511
506,511
508,511
507,511
508,511
507,511
507,511
507,511
508,511
508,511
508,511
507,511
508,511
507,511
506,511
508,511
506,511
508,511
509,511
507,511
507,511
507,511
509,511
508,511
508,511
508,511
506,511
506,511
507,511
507,511
507,511
508,511
507,511
506,511
508,511
508,511
507,511
506,511
508,511
507,511
507,511
508,511
507,511
507,511
507,511
507,511
508,511
508,511
508,511
506,511
507,511
508,511
506,511
507,511
506,511
508,511
507,511
508,511
508,511
508,511
508,511
507,511
507,511
508,511
508,511
507,511
507,511
508,511
507,511
507,511
508,511
508,511
507,511
507,511
507,511
507,511
507,511
507,511
507,511
508,511
507,511
508,511
509,511
508,511
507,511
507,511
506,511
508,511
507,511
507,511
508,511
508,511
508,511
509,511
507,511
506,511
506,511
506,511
505,511
507,511
507,511
506,511
507,511
508,511
506,511
508,511
508,511
508,511
507,511
507,511
507,511
507,511
506,511
507,511
508,511
507,511
507,511
508,511
507,511
507,511
508,511
507,511
507,511
509,511
507,511
508,511
508,511
507,511
507,511
506,511
507,511
508,511
507,511
507,511
507,511
507,511
508,511
507,511
